City,State,Housing type,Project,Units,Sq. ft. per unit,Neighborhood,Total duration (years),Total duration low,Total duration high,Total duration 95% CI,Permitting duration (years),Permitting low,Permitting high,Permitting 95% CI,Rank (longest first)
Honolulu,HI,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Urban core (25,000/sq. mi.)",2.08,1.86,2.3,1.86–2.3,0.83,0.71,0.94,0.71–0.94,13
Seattle,WA,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Urban core (25,000/sq. mi.)",1.94,1.85,2.04,1.85–2.04,0.59,0.55,0.63,0.55–0.63,14
San Antonio,TX,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Urban core (25,000/sq. mi.)",1.79,1.34,2.23,1.34–2.23,0.49,0.24,0.74,0.24–0.74,15
Nashville,TN,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Urban core (25,000/sq. mi.)",1.58,1.16,2.01,1.16–2.01,0.19,0.09,0.29,0.09–0.29,16
Columbus,OH,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Urban core (25,000/sq. mi.)",1.52,1.17,1.87,1.17–1.87,0.1,0.06,0.14,0.06–0.14,17
Tampa,FL,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Urban core (25,000/sq. mi.)",1.48,1.04,1.91,1.04–1.91,0.44,0.25,0.62,0.25–0.62,18
Atlanta,GA,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Urban core (25,000/sq. mi.)",1.46,1.2,1.73,1.2–1.73,0.27,0.17,0.38,0.17–0.38,19
Providence,RI,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Urban core (25,000/sq. mi.)",1.45,1.08,1.83,1.08–1.83,0.13,0.06,0.19,0.06–0.19,20
Austin,TX,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Urban core (25,000/sq. mi.)",1.4,1.27,1.52,1.27–1.52,0.37,0.3,0.43,0.3–0.43,21
Portland,OR,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Urban core (25,000/sq. mi.)",1.39,1.3,1.48,1.3–1.48,0.48,0.43,0.53,0.43–0.53,22
Houston,TX,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Urban core (25,000/sq. mi.)",1.37,0.97,1.78,0.97–1.78,0.23,0.05,0.41,0.05–0.41,23
Colorado Springs,CO,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Urban core (25,000/sq. mi.)",1.34,1.15,1.53,1.15–1.53,0.15,0.1,0.2,0.1–0.2,24
Fort Worth,TX,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Urban core (25,000/sq. mi.)",1.32,1.15,1.48,1.15–1.48,0.1,0.07,0.14,0.07–0.14,25
Orlando,FL,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Urban core (25,000/sq. mi.)",1.26,1.03,1.5,1.03–1.5,0.2,0.08,0.32,0.08–0.32,26
Sacramento,CA,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Urban core (25,000/sq. mi.)",1.23,0.87,1.59,0.87–1.59,0.21,0.1,0.33,0.1–0.33,27
Reno,NV,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Urban core (25,000/sq. mi.)",1.18,0.93,1.42,0.93–1.42,0.2,0.06,0.34,0.06–0.34,28
El Paso,TX,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Urban core (25,000/sq. mi.)",0.76,0.52,1,0.52–1,0.19,0.03,0.35,0.03–0.35,29
New Orleans,LA,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Urban core (25,000/sq. mi.)",0.7,0.59,0.8,0.59–0.8,0.12,0.09,0.15,0.09–0.15,30
Oklahoma City,OK,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Urban core (25,000/sq. mi.)",0.67,0.58,0.76,0.58–0.76,0.04,0.02,0.07,0.02–0.07,31
Wilmington,NC,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"Urban core (25,000/sq. mi.)",0.53,0.48,0.59,0.48–0.59,0,0,0,0–0,32
San Francisco,CA,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"Low-density suburb (1,000/sq. mi.)",7.27,5.46,9.09,5.46–9.09,3.1,2.01,4.18,2.01–4.18,1
Philadelphia,PA,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"Low-density suburb (1,000/sq. mi.)",3.3,2.83,3.78,2.83–3.78,0.2,0.16,0.24,0.16–0.24,2
Washington,DC,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"Low-density suburb (1,000/sq. mi.)",3.27,2.24,4.3,2.24–4.3,0.99,0.52,1.46,0.52–1.46,3
Phoenix,AZ,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"Low-density suburb (1,000/sq. mi.)",3.24,3.01,3.46,3.01–3.46,1.62,1.42,1.82,1.42–1.82,4
Miami,FL,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"Low-density suburb (1,000/sq. mi.)",3.12,2.27,3.98,2.27–3.98,1.4,0.99,1.81,0.99–1.81,5
Oakland,CA,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"Low-density suburb (1,000/sq. mi.)",2.9,2.01,3.79,2.01–3.79,0.39,0.23,0.56,0.23–0.56,6
Honolulu,HI,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"Low-density suburb (1,000/sq. mi.)",2.87,2.61,3.13,2.61–3.13,1.12,0.97,1.28,0.97–1.28,7
Los Angeles,CA,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"Low-density suburb (1,000/sq. mi.)",2.87,2.57,3.16,2.57–3.16,1.19,1.01,1.37,1.01–1.37,8
New York,NY,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"Low-density suburb (1,000/sq. mi.)",2.83,2.72,2.94,2.72–2.94,0.77,0.7,0.83,0.7–0.83,9
Seattle,WA,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"Low-density suburb (1,000/sq. mi.)",2.68,2.45,2.9,2.45–2.9,0.8,0.71,0.89,0.71–0.89,10
Durham,NC,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"Low-density suburb (1,000/sq. mi.)",2.43,1.74,3.11,1.74–3.11,0.1,0.06,0.13,0.06–0.13,11
Boston,MA,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"Low-density suburb (1,000/sq. mi.)",2.34,1.99,2.69,1.99–2.69,1.01,0.75,1.27,0.75–1.27,12
Houston,TX,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"Low-density suburb (1,000/sq. mi.)",2.15,1.78,2.53,1.78–2.53,0.31,0.15,0.48,0.15–0.48,13
Providence,RI,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"Low-density suburb (1,000/sq. mi.)",2.1,1.38,2.81,1.38–2.81,0.08,0.02,0.14,0.02–0.14,14
Boise,ID,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"Low-density suburb (1,000/sq. mi.)",2.05,1.43,2.67,1.43–2.67,0.56,0.36,0.76,0.36–0.76,15
San Diego,CA,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"Low-density suburb (1,000/sq. mi.)",1.85,1.59,2.11,1.59–2.11,0.49,0.37,0.61,0.37–0.61,16
Louisville,KY,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"Low-density suburb (1,000/sq. mi.)",1.82,1.39,2.25,1.39–2.25,0.24,0.11,0.36,0.11–0.36,17
Portland,OR,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"Low-density suburb (1,000/sq. mi.)",1.72,1.58,1.85,1.58–1.85,0.64,0.57,0.71,0.57–0.71,18
Tulsa,OK,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"Low-density suburb (1,000/sq. mi.)",1.67,1.27,2.07,1.27–2.07,0.68,0.49,0.88,0.49–0.88,19
Boulder,CO,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"Low-density suburb (1,000/sq. mi.)",1.6,1.21,1.99,1.21–1.99,0.52,0.3,0.75,0.3–0.75,20
New Orleans,LA,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"Low-density suburb (1,000/sq. mi.)",1.56,1.31,1.82,1.31–1.82,0.21,0.15,0.27,0.15–0.27,21
Albuquerque,NM,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"Low-density suburb (1,000/sq. mi.)",1.56,0.94,2.19,0.94–2.19,0.23,0.08,0.38,0.08–0.38,22
Atlanta,GA,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"Low-density suburb (1,000/sq. mi.)",1.55,1.27,1.83,1.27–1.83,0.45,0.25,0.65,0.25–0.65,23
Austin,TX,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"Low-density suburb (1,000/sq. mi.)",1.5,1.4,1.6,1.4–1.6,0.27,0.24,0.31,0.24–0.31,24
Jacksonville,FL,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"Low-density suburb (1,000/sq. mi.)",1.48,1.33,1.63,1.33–1.63,0.31,0.25,0.38,0.25–0.38,25
Reno,NV,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"Low-density suburb (1,000/sq. mi.)",1.48,1.09,1.87,1.09–1.87,0.61,0.37,0.86,0.37–0.86,26
Tampa,FL,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"Low-density suburb (1,000/sq. mi.)",1.2,0.92,1.49,0.92–1.49,0.3,0.2,0.4,0.2–0.4,27
Colorado Springs,CO,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"Low-density suburb (1,000/sq. mi.)",1.18,1.01,1.35,1.01–1.35,0.17,0.12,0.23,0.12–0.23,28
Columbus,OH,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"Low-density suburb (1,000/sq. mi.)",1.16,1.01,1.31,1.01–1.31,0.1,0.07,0.12,0.07–0.12,29
Baton Rouge,LA,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"Low-density suburb (1,000/sq. mi.)",1.11,0.92,1.3,0.92–1.3,0.2,0.14,0.26,0.14–0.26,30
Nashville,TN,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"Low-density suburb (1,000/sq. mi.)",1.05,0.81,1.29,0.81–1.29,0.12,0.07,0.17,0.07–0.17,31
Fort Worth,TX,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"Low-density suburb (1,000/sq. mi.)",1.03,0.92,1.14,0.92–1.14,0.16,0.13,0.19,0.13–0.19,32
Orlando,FL,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"Low-density suburb (1,000/sq. mi.)",0.96,0.91,1.01,0.91–1.01,0.24,0.21,0.27,0.21–0.27,33
San Antonio,TX,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"Low-density suburb (1,000/sq. mi.)",0.93,0.74,1.12,0.74–1.12,0.05,0.02,0.07,0.02–0.07,34
Oklahoma City,OK,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"Low-density suburb (1,000/sq. mi.)",0.91,0.82,1,0.82–1,0.06,0.04,0.08,0.04–0.08,35
El Paso,TX,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"Low-density suburb (1,000/sq. mi.)",0.87,0.72,1.02,0.72–1.02,0.11,0.05,0.16,0.05–0.16,36
Denver,CO,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"Low-density suburb (1,000/sq. mi.)",0.68,0.49,0.86,0.49–0.86,0.12,0.01,0.24,0.01–0.24,37
Wilmington,NC,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"Low-density suburb (1,000/sq. mi.)",0.57,0.56,0.59,0.56–0.59,0,0,0,0–0,38
San Francisco,CA,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"City neighborhood (4,000/sq. mi.)",4.82,4,5.63,4–5.63,1.89,1.43,2.36,1.43–2.36,1
Jersey City,NJ,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"City neighborhood (4,000/sq. mi.)",3.88,2.27,5.49,2.27–5.49,0.34,0.14,0.54,0.14–0.54,2
Miami,FL,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"City neighborhood (4,000/sq. mi.)",3.68,3.06,4.3,3.06–4.3,1.35,1.09,1.6,1.09–1.6,3
Tulsa,OK,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"City neighborhood (4,000/sq. mi.)",3.22,2.49,3.95,2.49–3.95,0.92,0.72,1.12,0.72–1.12,4
Phoenix,AZ,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"City neighborhood (4,000/sq. mi.)",3.11,2.9,3.32,2.9–3.32,1.33,1.18,1.48,1.18–1.48,5
Oakland,CA,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"City neighborhood (4,000/sq. mi.)",3.01,2.51,3.51,2.51–3.51,0.49,0.38,0.61,0.38–0.61,6
Philadelphia,PA,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"City neighborhood (4,000/sq. mi.)",2.99,2.74,3.23,2.74–3.23,0.21,0.19,0.24,0.19–0.24,7
Washington,DC,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"City neighborhood (4,000/sq. mi.)",2.92,2.38,3.45,2.38–3.45,0.92,0.68,1.16,0.68–1.16,8
New York,NY,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"City neighborhood (4,000/sq. mi.)",2.9,2.81,2.98,2.81–2.98,0.81,0.77,0.85,0.77–0.85,9
Los Angeles,CA,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"City neighborhood (4,000/sq. mi.)",2.58,2.42,2.74,2.42–2.74,0.91,0.83,0.99,0.83–0.99,10
Boston,MA,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"City neighborhood (4,000/sq. mi.)",2.53,2.27,2.79,2.27–2.79,1.1,0.91,1.29,0.91–1.29,11
Honolulu,HI,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"City neighborhood (4,000/sq. mi.)",2.5,2.31,2.7,2.31–2.7,0.96,0.86,1.07,0.86–1.07,12
Fort Lauderdale,FL,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"City neighborhood (4,000/sq. mi.)",2.48,2.06,2.91,2.06–2.91,0.94,0.71,1.17,0.71–1.17,13
Seattle,WA,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"City neighborhood (4,000/sq. mi.)",2.39,2.28,2.5,2.28–2.5,0.72,0.67,0.76,0.67–0.76,14
Cleveland,OH,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"City neighborhood (4,000/sq. mi.)",2.34,1.68,2.99,1.68–2.99,0.63,0.41,0.86,0.41–0.86,15
Boise,ID,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"City neighborhood (4,000/sq. mi.)",2.18,1.24,3.11,1.24–3.11,0.44,0.22,0.66,0.22–0.66,16
San Diego,CA,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"City neighborhood (4,000/sq. mi.)",2.01,1.81,2.2,1.81–2.2,0.6,0.51,0.7,0.51–0.7,17
Louisville,KY,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"City neighborhood (4,000/sq. mi.)",1.97,1.35,2.59,1.35–2.59,0.23,0.11,0.36,0.11–0.36,18
Jacksonville,FL,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"City neighborhood (4,000/sq. mi.)",1.88,1.66,2.11,1.66–2.11,0.48,0.38,0.58,0.38–0.58,19
Albuquerque,NM,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"City neighborhood (4,000/sq. mi.)",1.84,1.17,2.52,1.17–2.52,0.21,0.1,0.32,0.1–0.32,20
Houston,TX,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"City neighborhood (4,000/sq. mi.)",1.82,1.56,2.07,1.56–2.07,0.28,0.2,0.36,0.2–0.36,21
Providence,RI,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"City neighborhood (4,000/sq. mi.)",1.8,1.36,2.25,1.36–2.25,0.1,0.05,0.14,0.05–0.14,22
Boulder,CO,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"City neighborhood (4,000/sq. mi.)",1.69,1.44,1.94,1.44–1.94,0.71,0.46,0.96,0.46–0.96,23
Sacramento,CA,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"City neighborhood (4,000/sq. mi.)",1.67,1.44,1.89,1.44–1.89,0.37,0.25,0.48,0.25–0.48,24
Portland,OR,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"City neighborhood (4,000/sq. mi.)",1.6,1.53,1.67,1.53–1.67,0.58,0.53,0.62,0.53–0.62,25
Durham,NC,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"City neighborhood (4,000/sq. mi.)",1.58,1.21,1.95,1.21–1.95,0.2,0.15,0.25,0.15–0.25,26
Atlanta,GA,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"City neighborhood (4,000/sq. mi.)",1.53,1.36,1.69,1.36–1.69,0.38,0.28,0.47,0.28–0.47,27
Austin,TX,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"City neighborhood (4,000/sq. mi.)",1.47,1.4,1.53,1.4–1.53,0.32,0.29,0.34,0.29–0.34,28
Reno,NV,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"City neighborhood (4,000/sq. mi.)",1.43,1.22,1.64,1.22–1.64,0.39,0.25,0.53,0.25–0.53,29
Tampa,FL,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"City neighborhood (4,000/sq. mi.)",1.38,1.17,1.59,1.17–1.59,0.37,0.28,0.45,0.28–0.45,30
Columbus,OH,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"City neighborhood (4,000/sq. mi.)",1.34,1.21,1.48,1.21–1.48,0.1,0.08,0.13,0.08–0.13,31
Nashville,TN,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"City neighborhood (4,000/sq. mi.)",1.29,1.02,1.56,1.02–1.56,0.15,0.09,0.21,0.09–0.21,32
Colorado Springs,CO,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"City neighborhood (4,000/sq. mi.)",1.28,1.11,1.45,1.11–1.45,0.2,0.14,0.26,0.14–0.26,33
San Antonio,TX,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"City neighborhood (4,000/sq. mi.)",1.25,1.02,1.48,1.02–1.48,0.14,0.09,0.18,0.09–0.18,34
Baton Rouge,LA,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"City neighborhood (4,000/sq. mi.)",1.22,1.05,1.39,1.05–1.39,0.35,0.26,0.44,0.26–0.44,35
Denver,CO,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"City neighborhood (4,000/sq. mi.)",1.2,1.08,1.32,1.08–1.32,0.22,0.13,0.3,0.13–0.3,36
Fort Worth,TX,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"City neighborhood (4,000/sq. mi.)",1.15,1.05,1.26,1.05–1.26,0.15,0.12,0.18,0.12–0.18,37
New Orleans,LA,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"City neighborhood (4,000/sq. mi.)",1.14,1,1.27,1–1.27,0.18,0.14,0.21,0.14–0.21,38
Orlando,FL,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"City neighborhood (4,000/sq. mi.)",1.08,0.98,1.19,0.98–1.19,0.21,0.14,0.28,0.14–0.28,39
Oklahoma City,OK,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"City neighborhood (4,000/sq. mi.)",0.83,0.74,0.91,0.74–0.91,0.06,0.03,0.08,0.03–0.08,40
El Paso,TX,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"City neighborhood (4,000/sq. mi.)",0.82,0.66,0.97,0.66–0.97,0.15,0.06,0.23,0.06–0.23,41
Wilmington,NC,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"City neighborhood (4,000/sq. mi.)",0.59,0.56,0.61,0.56–0.61,0,0,0,0–0,42
Tulsa,OK,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"Dense city neighborhood (10,000/sq. mi.)",4.98,2.97,6.98,2.97–6.98,1.12,0.65,1.6,0.65–1.6,1
Miami,FL,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"Dense city neighborhood (10,000/sq. mi.)",4.09,3.53,4.66,3.53–4.66,1.31,1.1,1.52,1.1–1.52,2
San Francisco,CA,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"Dense city neighborhood (10,000/sq. mi.)",3.67,3.18,4.16,3.18–4.16,1.37,1.09,1.65,1.09–1.65,3
Jersey City,NJ,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"Dense city neighborhood (10,000/sq. mi.)",3.2,2.3,4.1,2.3–4.1,0.3,0.18,0.42,0.18–0.42,4
Oakland,CA,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"Dense city neighborhood (10,000/sq. mi.)",3.08,2.64,3.53,2.64–3.53,0.57,0.42,0.72,0.42–0.72,5
Phoenix,AZ,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"Dense city neighborhood (10,000/sq. mi.)",3.03,2.82,3.24,2.82–3.24,1.17,1.02,1.32,1.02–1.32,6
New York,NY,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"Dense city neighborhood (10,000/sq. mi.)",2.94,2.86,3.02,2.86–3.02,0.84,0.8,0.87,0.8–0.87,7
Philadelphia,PA,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"Dense city neighborhood (10,000/sq. mi.)",2.79,2.65,2.93,2.65–2.93,0.22,0.21,0.24,0.21–0.24,8
Washington,DC,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"Dense city neighborhood (10,000/sq. mi.)",2.7,2.4,3,2.4–3,0.87,0.75,0.99,0.75–0.99,9
Boston,MA,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"Dense city neighborhood (10,000/sq. mi.)",2.66,2.43,2.88,2.43–2.88,1.16,1,1.32,1–1.32,10
Cleveland,OH,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"Dense city neighborhood (10,000/sq. mi.)",2.41,1.66,3.15,1.66–3.15,0.78,0.59,0.97,0.59–0.97,11
Los Angeles,CA,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"Dense city neighborhood (10,000/sq. mi.)",2.4,2.29,2.51,2.29–2.51,0.76,0.71,0.81,0.71–0.81,12
Honolulu,HI,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"Dense city neighborhood (10,000/sq. mi.)",2.28,2.09,2.47,2.09–2.47,0.87,0.78,0.97,0.78–0.97,13
Seattle,WA,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"Dense city neighborhood (10,000/sq. mi.)",2.21,2.14,2.29,2.14–2.29,0.67,0.64,0.7,0.64–0.7,14
Jacksonville,FL,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"Dense city neighborhood (10,000/sq. mi.)",2.21,1.9,2.51,1.9–2.51,0.63,0.49,0.78,0.49–0.78,15
Fort Lauderdale,FL,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"Dense city neighborhood (10,000/sq. mi.)",2.16,1.65,2.68,1.65–2.68,0.67,0.48,0.87,0.48–0.87,16
San Diego,CA,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"Dense city neighborhood (10,000/sq. mi.)",2.12,1.92,2.33,1.92–2.33,0.69,0.59,0.79,0.59–0.79,17
Louisville,KY,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"Dense city neighborhood (10,000/sq. mi.)",2.08,1.24,2.92,1.24–2.92,0.23,0.11,0.36,0.11–0.36,18
Albuquerque,NM,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"Dense city neighborhood (10,000/sq. mi.)",2.06,1.18,2.94,1.18–2.94,0.2,0.1,0.3,0.1–0.3,19
Boulder,CO,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"Dense city neighborhood (10,000/sq. mi.)",1.76,1.46,2.05,1.46–2.05,0.87,0.51,1.23,0.51–1.23,20
Denver,CO,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"Dense city neighborhood (10,000/sq. mi.)",1.74,1.53,1.95,1.53–1.95,0.31,0.13,0.5,0.13–0.5,21
Providence,RI,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"Dense city neighborhood (10,000/sq. mi.)",1.63,1.27,2,1.27–2,0.11,0.07,0.16,0.07–0.16,22
Houston,TX,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"Dense city neighborhood (10,000/sq. mi.)",1.63,1.31,1.95,1.31–1.95,0.26,0.14,0.37,0.14–0.37,23
Portland,OR,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"Dense city neighborhood (10,000/sq. mi.)",1.53,1.47,1.58,1.47–1.58,0.54,0.5,0.57,0.5–0.57,24
San Antonio,TX,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"Dense city neighborhood (10,000/sq. mi.)",1.52,1.21,1.83,1.21–1.83,0.27,0.17,0.36,0.17–0.36,25
Tampa,FL,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"Dense city neighborhood (10,000/sq. mi.)",1.51,1.22,1.8,1.22–1.8,0.42,0.3,0.53,0.3–0.53,26
Atlanta,GA,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"Dense city neighborhood (10,000/sq. mi.)",1.51,1.33,1.69,1.33–1.69,0.33,0.25,0.42,0.25–0.42,27
Columbus,OH,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"Dense city neighborhood (10,000/sq. mi.)",1.48,1.26,1.7,1.26–1.7,0.1,0.08,0.13,0.08–0.13,28
Nashville,TN,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"Dense city neighborhood (10,000/sq. mi.)",1.48,1.14,1.82,1.14–1.82,0.17,0.1,0.25,0.1–0.25,29
Sacramento,CA,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"Dense city neighborhood (10,000/sq. mi.)",1.45,1.22,1.68,1.22–1.68,0.28,0.19,0.37,0.19–0.37,30
Austin,TX,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"Dense city neighborhood (10,000/sq. mi.)",1.45,1.36,1.53,1.36–1.53,0.35,0.31,0.39,0.31–0.39,31
Reno,NV,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"Dense city neighborhood (10,000/sq. mi.)",1.4,1.2,1.59,1.2–1.59,0.29,0.15,0.43,0.15–0.43,32
Colorado Springs,CO,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"Dense city neighborhood (10,000/sq. mi.)",1.36,1.16,1.55,1.16–1.55,0.22,0.15,0.29,0.15–0.29,33
Fort Worth,TX,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"Dense city neighborhood (10,000/sq. mi.)",1.24,1.12,1.37,1.12–1.37,0.14,0.11,0.17,0.11–0.17,34
Durham,NC,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"Dense city neighborhood (10,000/sq. mi.)",1.19,0.66,1.72,0.66–1.72,0.33,0.22,0.44,0.22–0.44,35
